Database;batteries;;;;;;
;;;;;;;
Activity;battery cell, NMC-622;;;;;;
location;GLO;;;;;;
production amount;1;;;;;;
reference product;battery cell;;;;;;
type;;;;;;;
unit;kilogram;;;;;;
worksheet name;Sheet1;;;;;;
Exchanges;;;;;;;
market for transport, freight, lorry, unspecified;0.0222;ecoinvent;RoW;;ton kilometer;technosphere;transport, freight, lorry, unspecified
market for transport, freight train;0.0329;ecoinvent;CN;;ton kilometer;technosphere;transport, freight train
market for transport, freight, sea, container ship;0.0637;ecoinvent;GLO;;ton kilometer;technosphere;transport, freight, sea, container ship
market for heat, district or industrial, natural gas;39.5565;ecoinvent;RoW;;megajoule;technosphere;heat, district or industrial, natural gas
market for sodium hydroxide, without water, in 50% solution state;0.8636;ecoinvent;GLO;;kilogram;technosphere;sodium hydroxide, without water, in 50% solution state
cobalt sulfate production, from copper mining, economic allocation;0.3260;ecoinvent;CN;;kilogram;technosphere;cobalt sulfate
market for nickel sulfate;0.9780;ecoinvent;GLO;;kilogram;technosphere;nickel sulfate
market for manganese sulfate;0.3260;ecoinvent;GLO;;kilogram;technosphere;manganese sulfate
market for ammonia, anhydrous, liquid;0.0059;ecoinvent;CN;;kilogram;technosphere;ammonia, anhydrous, liquid
market for chemical factory, organics;0.0000;ecoinvent;GLO;;unit;technosphere;chemical factory, organics
market for wastewater, average;-0.0006;ecoinvent;RoW;;cubic meter;technosphere;wastewater, average
Ammonia;0.0059;ecoinvent;;air;kilogram;biosphere;
Water, cooling, unspecified natural origin;0.0006;ecoinvent;;natural resource::in water;cubic meter;biosphere;
;;;;;;;
;;;;;;;
Activity;battery separator;;;;;;
location;GLO;;;;;;
production amount;1;;;;;;
reference product;battery separator;;;;;;
type;;;;;;;
unit;kilogram;;;;;;
worksheet name;Sheet1;;;;;;
Exchanges;;;;;;;
name;amount;database;location;categories;unit;type;reference product
battery separator;1;batteries;GLO;;kilogram;production;battery separator
market group for transport, freight train;0.0200;ecoinvent;GLO;;ton kilometer;technosphere;transport, freight train
market for transport, freight, lorry, unspecified;0.0200;ecoinvent;RoW;;ton kilometer;technosphere;transport, freight, lorry, unspecified
market for extrusion, plastic film;0.3509;ecoinvent;GLO;;kilogram;technosphere;extrusion, plastic film
market for polyethylene, high density, granulate;0.3509;ecoinvent;GLO;;kilogram;technosphere;polyethylene, high density, granulate
market for phthalic anhydride;0.2912;ecoinvent;GLO;;kilogram;technosphere;phthalic anhydride
market for silica sand;0.2184;ecoinvent;GLO;;kilogram;technosphere;silica sand
market for heat, district or industrial, natural gas;0.1933;ecoinvent;RoW;;megajoule;technosphere;heat, district or industrial, natural gas
market for polyvinylfluoride;0.1922;ecoinvent;GLO;;kilogram;technosphere;polyvinylfluoride
market for hexafluoroethane;0.0262;ecoinvent;GLO;;kilogram;technosphere;hexafluoroethane
