model,pathway,scenario,region,variables,unit,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
image,SSP2-Base,Business As Usual,World,PRODUCTION|NCA,kWh,63.7,74.1,84.6,95.0,105.4,129.7,142.1,142.8,131.7,108.8,112.2,108.5,102.7,94.7,84.4,80.5,75.5,69.6,62.6,54.7
image,SSP2-Base,Business As Usual,World,PRODUCTION|NMC811,kWh,51.6,117.7,183.9,250,316.2,458.8,607.2,761.6,921.9,1088,1290,1451.8,1621.3,1798.5,1983.4,1948.9,1897.4,1829,1743.5,1641
image,SSP2-RCP26,Climate ambitious,World,PRODUCTION|NCA,kWh,73.7,84.1,94.6,105.0,115.4,139.7,152.1,152.8,141.7,118.8,122.2,118.5,112.7,104.7,94.4,90.5,85.5,79.6,72.6,64.7
image,SSP2-RCP26,Climate ambitious,World,PRODUCTION|NMC811,kWh,41.6,107.7,173.9,240,306.2,448.8,597.2,751.6,911.9,1078,1280,1441.8,1611.3,1788.5,1973.4,1938.9,1887.4,1819,1733.5,1631
